,lr,optimizer,activation,batch_size,max_epochs,hidden_layers
0,0.002,sgd,sigmoid,32,128,"[4, 8]"
1,0.002,bgd,sigmoid,32,128,"[4, 8]"
2,0.002,mbgd,sigmoid,32,128,"[4, 8]"
3,0.002,mbgd,signum,32,128,"[4, 4]"
4,0.05,mbgd,linear,32,1024,"[4, 4]"
5,0.05,mbgd,linear,32,1024,[8]
6,0.01,sgd,relu,32,1024,"[16, 8]"
7,0.002,mbgd,linear,16,256,"[16, 8]"
8,0.002,mbgd,sigmoid,32,256,"[8, 8]"
9,0.01,mbgd,relu,16,200,"[16, 8]"
10,0.05,mbgd,tanh,16,200,"[16, 8]"
11,0.002,mbgd,sigmoid,16,800,"[16, 16]"
12,0.05,mbgd,sigmoid,32,800,"[8, 8]"
13,0.01,mbgd,signum,16,800,"[8, 8]"
14,0.01,sgd,sigmoid,16,200,"[16, 8]"
15,0.05,mbgd,signum,16,800,"[16, 8]"
16,0.01,mbgd,relu,32,800,"[16, 16]"
17,0.05,mbgd,relu,32,800,"[16, 8]"
18,0.01,mbgd,relu,32,200,"[16, 16]"
19,0.002,sgd,relu,16,800,[8]
20,0.05,mbgd,relu,32,800,"[8, 8]"
21,0.002,mbgd,sigmoid,32,800,"[16, 16]"
22,0.002,sgd,sigmoid,32,200,"[8, 8, 8]"
23,0.01,mbgd,sigmoid,32,800,[16]
24,0.002,mbgd,relu,16,200,"[16, 16]"
25,0.002,bgd,signum,32,800,[16]
26,0.01,mbgd,relu,32,800,"[8, 8]"
27,0.01,bgd,signum,32,800,[8]
28,0.002,mbgd,signum,32,800,[16]
29,0.002,bgd,signum,32,800,[16]
30,0.01,bgd,signum,32,800,[16]
31,0.01,mbgd,signum,32,800,[16]
32,0.01,bgd,signum,32,800,[8]
33,0.01,bgd,signum,32,800,[16]
34,0.002,bgd,signum,32,800,[16]
35,0.002,bgd,signum,32,800,"[8, 16]"
36,0.002,mbgd,signum,32,800,"[16, 8]"
37,0.01,sgd,signum,32,800,"[16, 8]"
38,0.002,mbgd,signum,32,800,"[16, 8]"
39,0.002,bgd,signum,32,800,"[8, 16]"
40,0.002,mbgd,signum,32,800,"[8, 16]"
41,0.002,bgd,signum,32,800,"[8, 16]"
42,0.01,sgd,sigmoid,16,200,[8]
43,0.002,mbgd,signum,32,800,"[8, 16]"
44,0.002,bgd,signum,32,800,"[8, 8]"
45,0.05,mbgd,signum,16,200,"[16, 16]"
46,0.01,bgd,relu,16,200,"[8, 8, 8]"
47,0.01,sgd,tanh,16,200,"[8, 16]"
48,0.002,sgd,relu,32,800,"[8, 16]"
49,0.01,bgd,signum,32,800,"[8, 8]"
50,0.01,mbgd,signum,16,200,"[8, 8]"
51,0.05,bgd,relu,32,800,"[8, 8, 8]"
52,0.002,bgd,tanh,16,800,[8]
53,0.01,sgd,relu,32,200,[8]
54,0.01,bgd,signum,32,800,"[8, 8]"
55,0.01,bgd,signum,32,800,"[8, 8]"
56,0.05,bgd,relu,32,200,"[8, 8, 8]"
57,0.05,mbgd,signum,32,800,[8]
58,0.002,mbgd,signum,32,800,[16]
59,0.01,mbgd,signum,32,800,"[8, 16]"
60,0.002,mbgd,signum,32,800,"[16, 16]"
61,0.002,mbgd,signum,32,800,"[8, 8]"
62,0.002,bgd,signum,32,800,"[8, 8]"
63,0.002,mbgd,signum,32,800,"[8, 8]"
64,0.05,mbgd,signum,16,200,"[8, 8, 8]"
65,0.05,mbgd,signum,16,800,"[8, 8, 8]"
66,0.05,mbgd,signum,16,800,"[8, 8, 8]"
67,0.002,bgd,signum,32,800,[16]
68,0.05,mbgd,signum,16,200,"[8, 8, 8]"
69,0.002,mbgd,signum,32,800,"[8, 8]"
70,0.05,mbgd,signum,16,800,"[8, 8, 8]"
71,0.05,bgd,signum,16,800,"[8, 8, 8]"
72,0.05,mbgd,relu,16,800,"[8, 8, 8]"
73,0.002,mbgd,signum,32,800,"[8, 8]"
74,0.01,bgd,signum,32,800,"[8, 8]"
75,0.002,sgd,signum,16,200,"[8, 8, 8]"
76,0.002,mbgd,sigmoid,16,200,"[16, 8]"
77,0.002,mbgd,signum,32,800,"[8, 16]"
78,0.002,mbgd,sigmoid,16,800,"[8, 8, 8]"
79,0.002,mbgd,signum,32,800,"[8, 8]"
80,0.01,mbgd,sigmoid,16,800,"[16, 8]"
81,0.002,mbgd,signum,32,800,"[8, 8]"
82,0.002,mbgd,sigmoid,16,800,"[8, 8, 8]"
83,0.002,mbgd,sigmoid,16,800,"[8, 8, 8]"
84,0.01,bgd,signum,32,800,"[8, 16]"
85,0.002,mbgd,sigmoid,16,200,"[8, 8]"
86,0.002,mbgd,tanh,16,800,"[8, 8]"
87,0.002,mbgd,sigmoid,16,200,"[8, 8]"
88,0.002,mbgd,sigmoid,16,200,"[16, 8]"
89,0.01,mbgd,signum,32,800,"[8, 16]"
90,0.002,mbgd,tanh,16,200,[16]
91,0.01,mbgd,sigmoid,16,200,"[8, 8]"
92,0.002,mbgd,sigmoid,16,200,"[16, 8]"
93,0.002,mbgd,sigmoid,16,200,[8]
94,0.002,mbgd,sigmoid,32,200,"[8, 16]"
95,0.002,bgd,signum,32,800,"[8, 8]"
96,0.002,mbgd,sigmoid,32,200,"[8, 16]"
97,0.002,mbgd,sigmoid,32,200,[16]
98,0.002,mbgd,signum,32,800,"[8, 16]"
99,0.002,mbgd,sigmoid,32,200,"[8, 16]"
100,0.05,mbgd,signum,16,200,"[8, 8, 8]"
101,0.002,mbgd,sigmoid,32,200,[16]
102,0.002,mbgd,sigmoid,32,800,[8]
103,0.002,mbgd,sigmoid,32,800,"[8, 8]"
104,0.002,mbgd,sigmoid,32,800,"[8, 8]"
105,0.002,mbgd,sigmoid,32,200,[8]
106,0.05,mbgd,signum,16,200,"[8, 8, 8]"
107,0.002,mbgd,sigmoid,32,800,[16]
108,0.002,mbgd,signum,32,800,"[8, 8]"
109,0.002,mbgd,signum,32,800,"[8, 8]"
110,0.002,mbgd,tanh,32,800,"[8, 16]"
111,0.002,mbgd,sigmoid,32,200,[16]
112,0.002,mbgd,signum,32,800,[16]
113,0.002,mbgd,sigmoid,32,800,"[8, 16]"
114,0.002,mbgd,sigmoid,16,200,[16]
115,0.01,bgd,signum,32,800,"[8, 8]"
116,0.002,mbgd,sigmoid,32,800,"[8, 16]"
117,0.002,mbgd,sigmoid,32,200,"[8, 8]"
118,0.002,bgd,signum,32,800,"[8, 8]"
119,0.002,mbgd,sigmoid,32,200,"[8, 8]"
120,0.002,mbgd,sigmoid,16,200,[16]
121,0.002,mbgd,signum,32,800,"[8, 16]"
122,0.05,mbgd,sigmoid,32,800,[16]
123,0.002,mbgd,sigmoid,32,800,[8]
124,0.002,mbgd,sigmoid,32,800,[8]
125,0.002,bgd,signum,32,800,[8]
126,0.002,bgd,signum,16,200,[8]
127,0.002,bgd,signum,32,200,[8]
128,0.002,bgd,signum,32,800,[8]
129,0.01,mbgd,signum,32,200,[16]
130,0.002,bgd,signum,32,200,"[8, 8]"
131,0.002,mbgd,signum,32,800,[16]
132,0.002,mbgd,signum,32,800,[8]
133,0.01,mbgd,signum,32,800,[8]
134,0.002,mbgd,signum,32,200,[8]
135,0.002,bgd,signum,32,800,[8]
136,0.002,mbgd,signum,32,800,[8]
137,0.002,bgd,signum,32,800,[16]
138,0.002,mbgd,signum,32,800,"[8, 8]"
139,0.01,mbgd,signum,32,200,[8]
140,0.002,bgd,signum,32,800,[16]
141,0.002,bgd,signum,32,800,[8]
142,0.002,bgd,signum,32,800,"[8, 8]"
143,0.002,bgd,signum,32,800,[16]
144,0.01,bgd,signum,32,800,[8]
145,0.002,bgd,signum,32,200,[8]
146,0.002,bgd,signum,32,800,[8]
147,0.01,mbgd,signum,32,200,[8]
148,0.002,bgd,signum,32,200,[8]
149,0.002,bgd,tanh,16,200,"[8, 8, 8]"
150,0.01,bgd,signum,32,200,"[8, 8]"
151,0.002,mbgd,signum,32,800,[8]
152,0.002,bgd,signum,32,800,[16]
153,0.002,bgd,signum,32,200,[8]
154,0.002,bgd,signum,32,800,[8]
155,0.002,bgd,signum,32,200,"[8, 8]"
156,0.002,mbgd,signum,32,200,[16]
157,0.002,bgd,signum,32,800,"[8, 16]"
158,0.002,mbgd,signum,32,200,"[8, 8]"
159,0.002,mbgd,signum,32,200,"[8, 16]"
160,0.01,bgd,signum,32,800,"[8, 16]"
161,0.002,mbgd,signum,32,200,"[8, 8]"
162,0.002,bgd,signum,32,200,"[8, 8]"
163,0.002,sgd,signum,32,800,"[8, 16]"
164,0.01,mbgd,signum,32,200,"[8, 8]"
165,0.002,bgd,signum,32,800,[8]
166,0.002,bgd,signum,32,200,"[8, 8]"
167,0.002,bgd,signum,32,200,[16]
168,0.002,mbgd,signum,32,200,"[16, 8]"
169,0.002,mbgd,signum,32,800,"[8, 8]"
170,0.002,bgd,relu,32,200,[16]
171,0.002,mbgd,signum,32,800,[16]
172,0.002,bgd,relu,32,200,[16]
173,0.002,bgd,signum,32,200,"[8, 8]"
174,0.002,mbgd,signum,32,200,"[8, 8]"
175,0.01,bgd,signum,32,800,[8]
176,0.002,bgd,signum,32,200,[16]
177,0.002,mbgd,signum,32,200,"[8, 16]"
178,0.01,bgd,signum,32,200,"[8, 8]"
179,0.002,bgd,signum,32,200,"[16, 8]"
180,0.002,bgd,signum,32,800,"[8, 16]"
181,0.01,mbgd,signum,32,200,"[8, 16]"
182,0.002,bgd,signum,32,200,"[8, 16]"
183,0.002,mbgd,signum,32,200,"[8, 16]"
184,0.002,bgd,signum,32,200,[16]
185,0.002,bgd,signum,32,200,"[8, 8, 8]"
186,0.002,bgd,signum,32,200,"[16, 16]"
187,0.01,mbgd,signum,32,800,"[16, 16]"
188,0.002,bgd,signum,32,200,"[16, 16]"
189,0.002,bgd,signum,32,200,"[16, 16]"
190,0.002,bgd,signum,32,200,"[8, 8, 8]"
191,0.002,bgd,signum,32,800,"[8, 8]"
192,0.002,mbgd,signum,32,200,"[16, 8]"
193,0.002,bgd,signum,32,200,"[8, 16]"
194,0.002,mbgd,signum,32,800,"[8, 8, 8]"
195,0.002,bgd,signum,32,800,"[8, 8, 8]"
196,0.01,bgd,signum,32,800,"[8, 8, 8]"
197,0.002,mbgd,signum,32,200,"[8, 8, 8]"
198,0.002,mbgd,signum,32,200,"[8, 8, 8]"
199,0.002,bgd,signum,32,200,"[8, 16]"
200,0.002,bgd,signum,32,200,"[16, 16]"
201,0.002,bgd,signum,32,800,"[16, 16]"
202,0.01,bgd,signum,32,200,"[8, 8, 8]"
203,0.01,mbgd,signum,32,800,"[16, 8]"
204,0.002,bgd,signum,32,800,"[16, 16]"
205,0.01,bgd,signum,32,200,"[16, 16]"
206,0.002,bgd,signum,32,800,"[16, 8]"
207,0.002,bgd,signum,32,200,"[16, 8]"
208,0.002,bgd,signum,32,200,"[8, 16]"
209,0.002,bgd,signum,32,800,"[16, 8]"
210,0.002,bgd,signum,32,200,"[16, 16]"
211,0.002,mbgd,signum,32,800,"[8, 16]"
212,0.002,mbgd,signum,32,200,"[8, 8, 8]"
213,0.002,bgd,signum,32,200,"[16, 16]"
214,0.002,bgd,signum,32,800,"[16, 8]"
215,0.002,bgd,signum,32,200,"[8, 8, 8]"
216,0.002,bgd,signum,32,200,"[16, 16]"
217,0.002,bgd,signum,32,200,"[8, 16]"
218,0.05,sgd,relu,16,200,"[8, 8, 8]"
219,0.002,mbgd,signum,32,200,"[16, 16]"
220,0.002,bgd,signum,32,200,"[16, 16]"
221,0.01,bgd,signum,32,200,"[16, 16]"
222,0.002,bgd,signum,32,800,[8]
223,0.002,bgd,signum,32,800,"[16, 16]"
224,0.002,bgd,signum,32,800,"[16, 8]"
225,0.002,bgd,signum,32,800,"[16, 16]"
226,0.002,bgd,signum,32,200,"[16, 16]"
227,0.002,bgd,signum,32,200,"[8, 16]"
228,0.01,mbgd,signum,32,800,"[8, 8, 8]"
229,0.002,bgd,signum,32,200,"[16, 16]"
230,0.01,bgd,signum,32,800,"[16, 16]"
231,0.01,bgd,signum,32,200,"[16, 16]"
232,0.002,bgd,signum,32,800,"[8, 8, 8]"
233,0.05,bgd,sigmoid,16,200,"[16, 8]"
234,0.002,mbgd,signum,32,200,"[8, 8, 8]"
235,0.002,bgd,signum,32,800,"[8, 8, 8]"
236,0.002,bgd,signum,32,200,"[8, 16]"
237,0.002,mbgd,signum,32,200,"[16, 8]"
238,0.002,bgd,signum,32,200,"[16, 16]"
239,0.002,mbgd,signum,32,800,"[8, 8, 8]"
240,0.002,mbgd,signum,32,200,"[8, 8, 8]"
241,0.002,bgd,signum,32,800,"[16, 16]"
242,0.002,mbgd,signum,32,200,"[8, 8, 8]"
243,0.002,mbgd,signum,32,800,"[16, 8]"
244,0.002,bgd,signum,32,200,"[16, 16]"
245,0.002,bgd,signum,32,800,"[16, 16]"
246,0.002,bgd,signum,32,200,"[8, 8, 8]"
247,0.002,bgd,signum,32,200,"[8, 8, 8]"
248,0.002,bgd,signum,32,800,[8]
249,0.002,bgd,signum,32,800,"[8, 16]"
250,0.002,bgd,signum,32,200,"[16, 16]"
251,0.01,bgd,signum,32,200,"[8, 16]"
252,0.002,bgd,signum,32,200,"[16, 8]"
253,0.01,bgd,relu,32,200,"[8, 8, 8]"
254,0.002,bgd,signum,32,200,[16]
255,0.002,bgd,signum,32,800,"[8, 8, 8]"
256,0.002,bgd,signum,32,800,"[8, 8, 8]"
257,0.002,bgd,signum,32,800,"[16, 16]"
258,0.002,bgd,signum,32,200,"[16, 16]"
259,0.01,bgd,signum,32,200,"[16, 16]"
260,0.002,bgd,signum,32,200,"[16, 8]"
261,0.002,bgd,signum,32,200,"[16, 8]"
262,0.002,bgd,signum,32,800,"[16, 8]"
263,0.002,mbgd,signum,32,200,"[16, 8]"
264,0.002,bgd,signum,32,800,"[8, 8, 8]"
265,0.002,bgd,signum,32,800,"[8, 16]"
266,0.01,bgd,signum,32,200,"[16, 16]"
267,0.002,bgd,signum,32,200,"[16, 8]"
268,0.002,bgd,signum,32,800,[16]
269,0.002,mbgd,signum,32,800,"[8, 16]"
